V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Tenure_codelist,Tenure,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0.659596185,0.66002501,1182,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,65-74,,All adults
0,0,859,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,65-74,,All adults
0,0,3339,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,75+,,All adults
0,0,200,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,75+,,All adults
0,0,897,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,75+,,All adults
0,0,697,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,75+,,All adults
24.92784186,17.28607987,380,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,16-24,,Female
5.336363948,2.931842677,636,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,16-24,,Female
9.149674027,3.524394486,958,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,16-24,,Female
18.45273198,9.81189749,322,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,16-24,,Female
6.015306281,1.660790013,11960,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,16+,,Female
6.626113215,1.6429159,3416,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,16+,,Female
10.70908635,1.836819963,6902,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,16+,,Female
15.68328428,3.552789129,3486,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,16+,,Female
4.022661445,3.053791396,1218,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,25-34,,Female
8.076031691,3.343256816,1167,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,25-34,,Female
17.72680234,4.339588893,1815,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,25-34,,Female
39.51440684,11.95203326,648,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,25-34,,Female
6.553253674,2.96065221,1882,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,35-44,,Female
4.724076516,3.02278583,680,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,35-44,,Female
3.904453901,1.852975807,1234,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,35-44,,Female
2.860337297,1.720620781,554,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,35-44,,Female
9.597156154,5.184798285,2229,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,45-54,,Female
16.44660704,7.776618622,390,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,45-54,,Female
21.2378761,8.367716478,1016,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,45-54,,Female
24.05202525,12.49039759,626,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,45-54,,Female
2.789209835,1.798839517,2172,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,55-64,,Female
0,0,285,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,55-64,,Female
5.23408042,3.937593398,755,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,55-64,,Female
8.61800962,6.481869756,470,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,55-64,,Female
3.453184487,1.899434392,2254,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,65-74,,Female
4.73480824,4.745775262,151,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,65-74,,Female
1.257282011,1.258339856,608,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,65-74,,Female
0,0,457,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,65-74,,Female
0,0,1825,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,75+,,Female
0,0,107,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,75+,,Female
0,0,516,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,75+,,Female
0,0,409,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,75+,,Female
2.788170094,2.781044719,395,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,16-24,,Male
11.41475731,5.917412267,584,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,16-24,,Male
8.509132514,4.412348854,811,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,16-24,,Male
0,0,227,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,16-24,,Male
1.570173006,0.588233545,10666,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,16+,,Male
5.084420803,1.850197246,3210,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,16+,,Male
5.002706985,1.387227181,5664,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,16+,,Male
4.86291475,2.027168635,2454,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,16+,,Male
0.558628963,0.558773094,988,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,25-34,,Male
3.337740856,1.701549616,952,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,25-34,,Male
3.199416249,1.387187268,1265,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,25-34,,Male
2.747301012,2.023301749,313,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,25-34,,Male
0.20597092,0.206135386,1610,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,35-44,,Male
4.012613929,2.598117889,684,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,35-44,,Male
7.749546454,3.719862485,1058,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,35-44,,Male
14.97533021,9.660656115,374,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,35-44,,Male
5.525051522,2.626975559,2031,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,45-54,,Male
0,0,460,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,45-54,,Male
5.693332739,3.596396479,888,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,45-54,,Male
11.63683299,7.344689862,428,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,45-54,,Male
0.30648344,0.306498787,2012,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,55-64,,Male
0,0,265,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,55-64,,Male
0,0,687,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,55-64,,Male
0,0,422,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,55-64,,Male
0.532858309,0.533139987,2116,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,65-74,,Male
0,0,172,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,65-74,,Male
0,0,574,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,65-74,,Male
0,0,402,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,65-74,,Male
0,0,1514,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Domestic violence,,75+,,Male
0,0,93,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Domestic violence,,75+,,Male
0,0,381,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Domestic violence,,75+,,Male
0,0,288,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Domestic violence,,75+,,Male
5.109173795,2.633865491,775,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,16-24,,All adults
5.484049402,1.962220873,1220,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,16-24,,All adults
8.694955344,2.119509631,1769,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,16-24,,All adults
17.27251095,5.76197078,549,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,16-24,,All adults
1.716052294,0.338059415,22626,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,16+,,All adults
6.17846327,1.719147356,6626,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,16+,,All adults
6.98638353,1.220365,12566,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,16+,,All adults
8.147184772,1.540345442,5940,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,16+,,All adults
1.453718899,0.756763868,2206,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,25-34,,All adults
3.869611853,1.432684638,2119,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,25-34,,All adults
4.756116796,1.320946848,3080,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,25-34,,All adults
7.149609597,2.984313477,961,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,25-34,,All adults
1.123620472,0.595792462,3492,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,35-44,,All adults
10.53767086,4.88356201,1364,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,35-44,,All adults
9.351340438,3.254386585,2292,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,35-44,,All adults
7.494297111,3.364471818,928,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,35-44,,All adults
3.422798399,1.182950974,4260,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,45-54,,All adults
13.13860074,13.11507448,850,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,45-54,,All adults
10.99831125,6.188722129,1904,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,45-54,,All adults
9.324405202,4.054862009,1054,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,45-54,,All adults
0.675201462,0.339562655,4184,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,55-64,,All adults
3.298411195,2.411106724,550,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,55-64,,All adults
5.7073018,2.989471213,1442,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,55-64,,All adults
7.35192148,4.751930566,892,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,55-64,,All adults
0.70175925,0.319128295,4370,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,65-74,,All adults
0,0,323,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,65-74,,All adults
2.161106846,2.157713601,1182,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,65-74,,All adults
3.013972019,3.007173863,859,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,65-74,,All adults
0.838589781,0.424850233,3339,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,75+,,All adults
0,0,200,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,75+,,All adults
0.417520386,0.417104632,897,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,75+,,All adults
0.549427623,0.549945303,697,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,75+,,All adults
0,0,380,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,16-24,,Female
7.953758192,3.509094448,636,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,16-24,,Female
8.72129504,3.082577908,958,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,16-24,,Female
10.59379941,6.238398236,322,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,16-24,,Female
1.276286362,0.318831179,11960,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,16+,,Female
6.63383954,2.070855226,3416,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,16+,,Female
5.66471123,1.323877637,6902,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,16+,,Female
4.484043152,1.493149865,3486,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,16+,,Female
1.452541752,1.087974152,1218,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,25-34,,Female
2.368334137,1.227992921,1167,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,25-34,,Female
4.295066282,1.61305904,1815,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,25-34,,Female
8.644861702,4.444458957,648,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,25-34,,Female
2.195006088,1.163228209,1882,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,35-44,,Female
18.53091989,10.32132252,680,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,35-44,,Female
10.92855701,5.810685881,1234,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,35-44,,Female
1.243912929,1.245183927,554,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,35-44,,Female
1.602429119,0.877075689,2229,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,45-54,,Female
0,0,390,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,45-54,,Female
4.028537207,2.858661896,1016,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,45-54,,Female
6.39469623,4.530602217,626,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,45-54,,Female
1.015823713,0.590283063,2172,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,55-64,,Female
6.498346499,4.750387899,285,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,55-64,,Female
2.551626819,1.868442166,755,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,55-64,,Female
0,0,470,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,55-64,,Female
0.767940866,0.454219721,2254,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,65-74,,Female
0,0,151,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,65-74,,Female
0,0,608,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,65-74,,Female
0,0,457,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,65-74,,Female
1.12355086,0.659316478,1825,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,75+,,Female
0,0,107,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,75+,,Female
0,0,516,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,75+,,Female
0,0,409,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,75+,,Female
9.793872577,5.040093194,395,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,16-24,,Male
3.201418983,1.940504435,584,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,16-24,,Male
8.669369069,2.917319529,811,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,16-24,,Male
24.68228029,10.00542445,227,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,16-24,,Male
2.179409167,0.608449794,10666,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,16+,,Male
5.771837641,2.681616053,3210,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,16+,,Male
8.342556549,2.00567575,5664,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,16+,,Male
12.74042406,2.926252912,2454,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,16+,,Male
1.454944349,1.049709116,988,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,25-34,,Male
5.20258853,2.478320443,952,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,25-34,,Male
5.208424639,2.088217359,1265,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,25-34,,Male
5.227500014,3.714738214,313,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,25-34,,Male
0,0,1610,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,35-44,,Male
3.884402128,2.456342534,684,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,35-44,,Male
7.806776176,3.008751247,1058,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,35-44,,Male
15.39113219,7.433545996,374,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,35-44,,Male
5.285665171,2.221434616,2031,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,45-54,,Male
23.07785946,23.00676077,460,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,45-54,,Male
18.27622749,12.27810409,888,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,45-54,,Male
13.26360973,7.289485727,428,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,45-54,,Male
0.328455286,0.328464574,2012,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,55-64,,Male
0,0,265,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,55-64,,Male
9.187768632,5.938133921,687,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,55-64,,Male
15.84485516,10.23398323,422,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,55-64,,Male
0.631169031,0.446540689,2116,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,65-74,,Male
0,0,172,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,65-74,,Male
4.546068594,4.530624357,574,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,65-74,,Male
6.514917549,6.483409729,402,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,65-74,,Male
0.480309545,0.480382033,1514,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Mugging,,75+,,Male
0,0,93,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Mugging,,75+,,Male
1.048421065,1.049984973,381,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Mugging,,75+,,Male
1.403972476,1.406501436,288,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Mugging,,75+,,Male
21.35469075,6.344002314,775,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,16-24,,All adults
34.28099284,6.286016312,1220,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,16-24,,All adults
30.09009927,5.166693794,1769,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,16-24,,All adults
18.89462258,8.767005057,549,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,16-24,,All adults
11.8037454,0.915435131,22626,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,16+,,All adults
20.71574727,2.437863615,6626,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,16+,,All adults
17.43336702,1.674638196,12566,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,16+,,All adults
12.71731859,1.986364167,5940,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,16+,,All adults
20.65420326,3.235808737,2206,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,25-34,,All adults
15.67781613,3.478261649,2119,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,25-34,,All adults
14.78083024,2.766276725,3080,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,25-34,,All adults
12.35903972,4.135650658,961,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,25-34,,All adults
13.64442642,2.174062509,3492,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,35-44,,All adults
16.12150623,4.368513884,1364,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,35-44,,All adults
15.19621759,3.06801286,2292,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,35-44,,All adults
13.74780063,3.946186895,928,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,35-44,,All adults
11.82223279,2.116221969,4260,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,45-54,,All adults
12.80614251,4.700826967,850,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,45-54,,All adults
12.73786781,3.008591153,1904,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,45-54,,All adults
12.68447062,3.894896543,1054,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,45-54,,All adults
9.689179509,1.778996082,4184,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,55-64,,All adults
19.01346233,11.14302346,550,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,55-64,,All adults
13.82192565,4.863004103,1442,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,55-64,,All adults
10.27751257,3.079749977,892,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,55-64,,All adults
6.046783164,1.254037349,4370,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,65-74,,All adults
5.47500993,3.30819404,323,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,65-74,,All adults
11.28794427,4.669459951,1182,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,65-74,,All adults
13.58197672,6.373071643,859,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,65-74,,All adults
6.306757467,1.546231529,3339,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,75+,,All adults
11.4521518,11.42639239,200,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,75+,,All adults
5.573320337,3.313609562,897,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,75+,,All adults
3.71602082,2.440872049,697,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,75+,,All adults
22.45155546,7.916564297,380,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,16-24,,Female
29.47480641,8.296606779,636,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,16-24,,Female
28.08913456,6.893665367,958,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,16-24,,Female
24.70861075,12.33843748,322,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,16-24,,Female
11.99304818,1.192285819,11960,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,16+,,Female
16.85811255,3.108683995,3416,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,16+,,Female
14.42133431,2.09086123,6902,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,16+,,Female
11.45266004,2.463696827,3486,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,16+,,Female
18.67244272,4.305345877,1218,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,25-34,,Female
12.48307068,4.082382547,1167,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,25-34,,Female
12.24973962,3.234750758,1815,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,25-34,,Female
11.7229708,5.119835857,648,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,25-34,,Female
17.64627565,3.387343185,1882,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,35-44,,Female
19.42086336,7.713301881,680,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,35-44,,Female
17.54568743,4.973159304,1234,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,35-44,,Female
15.1569023,5.62372915,554,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,35-44,,Female
11.28455897,2.460564004,2229,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,45-54,,Female
7.336141344,4.670497867,390,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,45-54,,Female
9.214044364,3.384733082,1016,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,45-54,,Female
10.31702963,4.616491017,626,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,45-54,,Female
8.186161463,2.230728103,2172,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,55-64,,Female
2.333723046,2.326151057,285,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,55-64,,Female
5.750283074,2.669036378,755,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Other personal theft,,55-64,,Female
7.959151933,4.129478945,470,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Other personal theft,,55-64,,Female
5.9885273,1.644778557,2254,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Other personal theft,,65-74,,Female
0,0,151,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Other personal theft,,65-74,,Female
